"","symbols","allENT","moduleColors","riBAQ 17","riBAQ 18","riBAQ 35","riBAQ 36","riBAQ 19","riBAQ 20","riBAQ 21","riBAQ 22","riBAQ 23","riBAQ 37","riBAQ 38","riBAQ 39","riBAQ 40","riBAQ 41","riBAQ 24","riBAQ 25","riBAQ 26","riBAQ 42","riBAQ 43"
"1","A2M","ENSG00000175899","black",6.08e-05,8.62e-06,1.8e-05,6.07e-06,0.00013678,9.64e-05,0.000162344,0.00011007,7.17e-05,6.52e-05,7.48e-05,0.000101311,0.000109355,9.96e-05,0.000239305,0.000110982,0.000201504,0.000187988,9.21e-05
"2","AAK1","ENSG00000115977","black",2.31e-05,7.45e-05,4.62e-05,6.51e-05,2.36e-05,3.8e-05,3.95e-05,1.87e-05,2.02e-05,3.71e-05,4.87e-05,0,0,2.58e-05,1.42e-05,0,0,0,1.09e-05
"3","AARS",NA,"black",3.14e-05,9.16e-05,9.04e-05,8.33e-05,4.07e-05,9.39e-05,5.4e-05,5.11e-05,4.49e-05,6.04e-05,9.36e-05,5.71e-05,5e-05,5.24e-05,4.93e-05,7.22e-05,7.55e-05,7.96e-05,5.23e-05
"4","AASDHPPT","ENSG00000149313","black",3.69e-05,5.02e-05,6.97e-05,6.09e-05,4.44e-05,4.52e-05,2.81e-05,4.44e-05,2.38e-05,3.07e-05,5.28e-05,0,0,4.57e-05,2.57e-05,1.99e-05,2.63e-05,1.83e-05,2.41e-05
"5","ABAT","ENSG00000183044","turquoise",0.000181408,4.01e-05,8.26e-05,7.16e-05,9.33e-05,4.71e-05,0.000156678,8.6e-05,0.000120372,8.35e-05,5.17e-05,0.000103349,0.000119806,8.89e-05,0.000159678,0.000163976,0.000173274,8.13e-05,0.000256426
"6","ABCA8","ENSG00000141338","turquoise",0,0,0,0,0,0,7.08e-06,0,6.7e-06,0,9.13e-06,0,0,0,0,6.45e-06,6.33e-06,8.81e-06,9.05e-06
"7","ABCB1","ENSG00000085563","grey",1.39e-05,0,5.59e-06,3.33e-06,0,9.82e-06,6.01e-06,0,6.06e-06,4.47e-06,1.41e-05,9.27e-06,4.5e-06,5.84e-06,2.11e-05,1.68e-05,1.22e-05,5.67e-06,8.72e-06
"8","ABCC4","ENSG00000125257","turquoise",0,0,0,0,0,0,7.05e-06,0,9.15e-06,0,6.32e-06,0,0,0,1.17e-05,1.51e-05,1.33e-05,1.51e-05,2.01e-05
"9","ABHD10","ENSG00000144827","turquoise",3.3e-05,0,8.4e-06,0,0,0,0,0,1.74e-05,1.11e-05,0,1.4e-05,2.44e-05,0,3.54e-05,0,6.15e-05,3.65e-05,7.91e-05
"10","ABHD12","ENSG00000100997","green",0,1.68e-05,0,0,0,2.52e-05,0,0,0,2.69e-05,0,0,0,0,1.91e-05,2.36e-05,1.49e-05,2.7e-05,2.96e-05
